destination,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,C“te d'Ivoire,Croatia,Cuba,Cura‡ao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,R‚union,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Thailand,1,,,,,,,,,,,  1 310,,,,,  1 299,,,,,,,,,,,,,,,,,  611 508,,695,,,,,,,,  68 811,,,,,,,,15,,,,,,0,15,593,,,,,0,,,,,2,,,,,  1 220,,,,,,  2 126,,,,,,,,,,,,,,,,,  8 232,621,13,76,,,,567,,  7 553,,,,,,,  829 240,,,,1,,,,,,,  1 216,,,,,,,,,,,,,,,,, 1 648 602,,,  10 345,630,,  1 665,,,,,,664,,  2 171,,,,,,  1 213,,491,,,841,,,,,4,,,,,,,,,1,,,,,675,,,,,122,,1,,  7 126,14,,,,645,870,,,,,,2,,,,,1,,,,0,,,  1 913,,  3 750,,,,,,  6 519,,,0,,1
Timor-Leste,,,,,,,,,,,,517,,,,,127,,,,,,,,,,,188,,,,,,,,,,,,,,,,  1 139,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  5 501,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,234,,,,,,726,,318,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,69,,,,,,199,,,,,
Viet Nam,,92,,,,399,,952,104,,,185,262,,,  1 325,658,,,134,,,,,,,,655,,109,167,,,  2 247,,119,,,,,,,,  7 812,  1 027,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,206,,,,,,,167,,,,,,,,,,  1 513,  6 937,,,,,,101,,605,,,,,,,  3 874,,,,,  10 199,,,,,,,,,,,,,,,,,,,,,,,  8 847,,,  1 717,,,,,,,,,629,,227,187,,,,120,264,,,,,139,,,,,,,,,,,,,,139,,,,,421,,,,,,,,,349,,,,,,,99,,463,,271,,,,,,,,,,,,,  1 471,,  2 022,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  47 984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  23 991,,,,,,,,,,,,,,,,,,,,,  1 199,,,,,,,,
Bangladesh,,,,,,,,  20 488,,,,,,,,  28 523,,,,,,,,,,,,  14 109,,,,,,  18 575,,,,,,,,,,  168 119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  32 562,  149 290,,,,,,,,  13 016,,,,,,,  83 368,,,,,,,,,,,  220 878,,,,,,,,,,,,,,,,,  190 412,,,  36 938,,,,,,,,,  13 534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  9 063,,,,,,,,,,,,,,,,,,  9 975,,,,,,,,,,,,,,,  31 653,,  43 510,,,,,,  26 026,,,,,
Bhutan,,,,,,,,,,,,27,12,,,,53,,,,,,,,,,,,,,,,,,,39,,,,,,,,926,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,30,,,,,,27,,,,,,,,,,,,,,,,,  45 770,,,,,,,12,,130,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,35,,,732,20,,24,,,,,,,,23,,,,,,20,,,,,35,,,,,,,,,,,,,,,,,,,18,,,,,,,,,35,,,,,23,24,,,63,,,,,,,,,,,,,,,36,,139,,,,,,,,,,,
India,  8 387,,,,,,,,,,,689,,,,, 3 289 033,,,,,,,  6 894,,,,,,  26 333,,,,,,  1 704,,,,,,,,  7 372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,  1 184,,,,,,  2 227,,,,,,,,,,,,,,,,,,850,  1 769,516,,,,,,743,,  2 287,  2 469,,  6 306,,,,,,,,,,,,,  12 904,207,,,,,,308,,,,,,,,,,  52 470,,,  563 153,,,,,,671,,,,, 1 147 381,,,,,,,,162,,,,,,,  1 398,,,,,,,,,,  4 643,,,,,  4 387,,,,,,,,,  160 971,,,,,,,,,,,,,,,,,110,,,,740,,  12 432,  5 047,,  2 823,,,,,,586,,,,705,
Iran (Islamic Republic of), 2 331 956,,,,,,,,,  2 504,,,,  12 128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  83 072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  28 689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 472,  4 950,,,,,,,,,,,,,,,,,,,
Maldives,,,,,,,,,,,,75,17,,,,  37 444,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,92,,,,,,220,,,,,,,,,,,,,,,,,  18 201,,,,,,,269,,104,,,,,,,,,11,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,126,,,,,,958,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,  7 315,,,,,23,93,,,106,,,,,,,,,,,,,,,129,,53,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,702,,,,,,,  94 295,,,,,,,,,,,,,,,,,,,,  22 185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  736 805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  12 625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan, 2 452 444,,35,,,,,,,,,,,,,,  196 208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 471 560,,63,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  98 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,0,,,,,,,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,408,,,,,,177,,,,,,,,,,,,,,,,,  323 753,,,0,,,,29,,79,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,8,,291,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,70,,,,,0,,,,,3,,,,242,55,0,,,,,,,,,,,,,,,,,396,,152,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,  215 524,,,,,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  15 920,,,,,,,,,,,,,,,,,,,,,,  36 329,595,,,  1 611,,,,,,,,,,,,,,,,  8 702,,,,,,,,,709,,,,,,,  1 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  15 814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 907,,,,,,,,,,  1 763,740,,,,  2 336,,,,,,,  1 037,,,,,,,,
Azerbaijan,,,,,,,,,,  3 494,,,,,,,,,  14 598,,,,,,,,,,,,129,,,,,,,,,,,,,400,,,,,,,,,,,,,,  2 609,,,,,,,,,,,843,,,,,172,,,,,,  4 799,  2 673,,,,,,,,,,,,,,,128,,,,,,,,,,,,,  18 992,,,,  3 035,,  1 326,,,,,,  3 889,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,  4 715,,,,357,  3 904,,708,  163 996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 238,,,,,,,,,  1 544,  1 470,,,,  39 286,,,,,,,  13 478,,,160,,,,,
Bahrain,621,,,,,,,,,,,,,,,,  91 742,,,,,,,,,,,,,,,,,,,,,,,,406,,,,,,,,,,,,,,,,,,,,,,,,  59 923,,,  1 466,,  1 031,,,,,839,,,,,,,,,,,,,,,,,,,,,,,  240 084,  26 993,,,,,,,,,  11 910,,,,  5 118,,,,  2 099,,,,,,,,,,,,,,,,,,,,,,,,741,,,,,659,277,,,,,541,,,,,  80 278,,,,,,  40 162,,,,80,,,,,,,,,,,,,,,610,,,,,,,,,,982,,  1 606,,  8 955,  4 419,  13 044,,,,,  5 128,,849,,,,,,,448,  3 726,,,,,,  7 646,  2 849,,  1 307,,,,,,,,,  16 956,,
Cyprus,8,243,31,0,,,,,73,  1 029,,  2 610,310,31,0,94,570,,297,229,0,8,,,10,60,8,52,,4,  5 392,,4,0,50,  1 318,,,,13,,,42,  1 402,,,110,,,,4,,73,31,,,591,29,599,148,4,0,10,8,  4 542,10,,4,25,71,,,4,433,803,0,,,,  13 388,  2 275,73,4,  20 767,,,,,0,0,,,4,,4,302,29,  2 408,152,  1 054,275,680,,335,422,13,73,387,208,73,,204,21,4,144,  2 412,,,200,,81,10,8,8,39,,,29,,0,,10,,56,,,,,,56,10,39,4,,50,422,,81,10,8,268,,,175,56,455,,17,,8,29,  6 312,620,56,4,10,8,824,,  4 737,  11 390,0,,,,,0,,,,204,8,  2 219,8,4,29,,119,13,,10,  4 350,249,137,  8 651,318,206,4,,799,331,  2 853,8,229,17,,,,,13,31,536,10,,,17,  2 870,133,  31 884,127,  2 785,,4,64,,56,56,,,13,119,268
Georgia,,,,,,,,,,  2 253,,,,  4 429,,,,,  9 416,,,,,,,,,,,,,,,,,,,,,,,,,259,,,,,,,,,,,,,,  1 683,,,,,,,,,,,543,,,,,,,,,,,,  1 724,,,,,,,,,,,,,,,,,,,,,,,,,,,,  12 250,,,,  1 957,,856,,,,,,  2 507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 042,,,,222,  2 519,,456,  105 783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 088,,,,,,,,,995,948,,,,  25 340,,,,,,,  8 694,,,,,,,,
Iraq,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  10 017,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,  13 546,,,,,,,,  7 209,,,,280,,,,  1 061,,,,,,,,,,,,,,,140,,,,,,,,,408,,,,,,,,,,,,,,,,475,,,,,,,,,,,,,,,189,,,,,,,,,,469,,,,,,,,,,184,,326,,,  12 976,  2 644,,,,,  4 322,,,,,,,,,218,  8 483,,,,,,200,,,,,,,,,,,,  1 395,,
Israel,  2 543,,  45 737,,,,,,  39 394,,,  3 271,  5 070,  13 545,,,,,  23 149,  6 001,,,,,,,,  8 944,,,  16 655,,,,,  8 143,,,,,,,  3 390,601,,,  2 766,,,,,,,,,,,,,  1 919,,,,,  21 127,,,,,  80 576,,,,309,  41 900,,,,,  9 328,  23 685,,,  3 089,,,,,,,,,,,,  12 511,,  18 990,,  52 388,  67 878,,,,  5 231,,,,  13 649,,,,  2 522,,  3 936,  6 240,,,  17 294,,  3 874,,,,,,,,,,,,,  2 605,,,,,,  163 320,,,,,,  5 117,,,,,,,,,,,,,,,  2 444,,  59 361,,,,,  10 925,,  103 808,  114 775,,,,,,,,,,,,,,,,,,,,,  11 736,,  1 893,,,,,,689,  3 858,  9 495,  1 888,,,,,,,,  23 573,  27 996,  2 304,,,,  135 283,,  21 896,,  79 182,,  6 385,  22 343,,374,,,,  30 908,,
Jordan,65,11,355,,,,,,14,27,,258,120,13,,439,  12 006,,2,75,,2,,3,5,63,,109,,26,52,2,,,,337,,,,,27,,9,  9 570,40,2,26,14,6,,1,2,27,10,,136,25,87,7,52,8,1,4,,  328 492,3,,77,7,79,,,,11,408,,,4,1,3,740,28,,64,,3,,3,5,5,1,,3,,6,606,4,  6 105,  10 762,98,  475 782,54,,  1 622,319,1,107,,21,5,,777,10,11,1,  1 899,,4,  1 006,1,5,4,1,5,293,,16,8,,,71,1,,11,,,7,17,,618,2,25,3,,188,206,,66,3,11,27,,,45,658,  3 362,,5,2,,2,  3 970,84,11,1,231,98,38,,280,616,,,,,,,,1,,  5 201,13,60,1,2,7,,24,7,,78,60,286,315,  12 896, 1 760 396,  2 322,,4,93,206,  68 613,11,107,91,2,1,,,,268,  1 060,2,,,4,409,216,835,1,  2 704,,,11,,32,14,,,  2 460,2,1
Kuwait,  1 743,,,,,,,,,,,,,,,848,  257 624,,,,,,,,,,,,,,,,,,,,,,,,  1 137,,,,,,,,,,,,,,,,,,,,,,,,  168 270,,,  4 114,,  2 897,,,,,  2 354,,,,,,,,,,,,,,,,,,,,,,,  674 177,  75 800,,,,,,,,,  33 445,,,,,,,,  5 897,,,,,,,,,,,,,,,,,,,,,,,,  2 083,,,,,  1 851,778,,,,,  1 516,,,,,  225 428,,,,,,  112 782,,,,224,,,,,,,,,,,,,,,  1 713,,,,,,,,,,  2 759,,  4 510,,  25 148,  12 410,  36 630,,,,,  14 401,,  2 383,,,,,,,  1 256,  10 464,,,,,,  21 472,  8 003,,  3 670,,,,,,,,,  47 616,,
Lebanon,,,,,,,,,,,,,,,,132,  3 619,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 885,,,,,,,,,,,,,,,,,,,,,  99 001,,,,,,,,,,123,,,,,,223,,,,,,,,,,,,,,,183,,  1 840,  3 243,,  143 391,,,489,,,,573,,,,234,,,,,,,303,,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,198,  1 013,,,,,,  1 197,,,,,,,,,186,,,,,,,,,,  1 567,,,,,,,,,,,,86,,  3 887,  530 550,700,,,,,  20 679,,,,,,,,,,319,,,,,123,,252,,815,,,,,,,,,741,,
State of Palestine,,,,,,,,,,,,,,,,  8 640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  18 633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  63 515,,,,  56 259,,,,  17 280,,,,  3 344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  9 426,,,,,,,,,,,  10 211,,,,,,,,,,,,,,,  21 993,,,,,,,,,,,,,,,,,,,,,  4 719,,,,,,,,,606,,,,,,,  10 996,,,  7 904,,,,,,,,,  1 482,,
Oman,,,,,,,,,,,,,,,,492,  135 732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  37 856,,,,,,,,,,  1 449,,,,,,,,,,,,,,,,,,,,,,,  590 012,  32 056,,  5 270,,,,,,,  9 380,,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,,,,,,,,,,  107 265,,,,,,  19 831,,,,213,,,,,,,,,,,,,,,919,,,,,,,,,,,,954,,  12 896,,  7 747,,,,,,,,,,,,,,,,,,,,,  8 142,  5 137,,,,,,,,,,,,,
Qatar,  1 356,,,,,,,,,,,,,,,659,  200 470,,,,,,,,,,,,,,,,,,,,,,,,885,,,,,,,,,,,,,,,,,,,,,,,,  130 941,,,  3 201,,  2 254,,,,,  1 832,,,,,,,,,,,,,,,,,,,,,,,  524 614,  58 984,,,,,,,,,  26 025,,,,  11 184,,,,  4 589,,,,,,,,,,,,,,,,,,,,,,,,  1 621,,,,,  1 440,606,,,,,  1 180,,,,,  175 418,,,,,,  87 761,,,,,,,,,,,,,,,,,,,  1 333,,,,,,,,,,  2 146,,  3 510,,  19 570,  9 657,  28 503,,,,,  11 206,,  1 855,,,,,,,977,  8 142,,,,,,  16 709,  6 227,,  2 856,,,,,,,,,  37 053,,
Saudi Arabia,  15 708,,,,,,,,,,,,,,,, 1 217 920,,,,,,,,,,,,,,,,,,,,,,,,  10 241,,,,,,,,,,,,,,,,,,,,,,,, 1 208 043,,,  37 062,,  26 096,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 639 262,  353 216,,,,,,,,,  157 080,,,,  124 847,,,,  53 125,,,,,,,,,,,,,,,,,,,,,,,,  18 770,,,,,  16 671,,,,,,  13 657,,,,, 1 227 785,,,,,,  957 215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  24 850,,  26 873,,  136 801,  111 800,  218 243,,,,,  129 735,,  21 471,,,,,,,  11 317,  94 261,,,,,,,  29 179,,  33 062,,,,,,,,,  428 961,,
Syrian Arab Republic,  1 611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 012 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 762,,59,,,  254 356,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,  13 111,  4 508,882,,11,11,,,192,  1 082,5,  3 997,  19 503,  22 840,10,30,449,4,271,  11 906,2,5,10,1,12,  3 222,18,468,103,13,  654 195,,4,10,22,  1 942,,,2,9,7,2,61,  2 012,80,,66,2,,,75,1,304,58,12,  14 138,  1 395,43,27,  4 580,,10,16,,  1 048,7,16,,154,80,,,2,  2 275,  21 737,,1,5,19,  8 740,  372 164,196,5,  80 569,,,66,,23,10,,7,,,5,708,58,709,245,  17 629,  12 094,732,,  3 700,  3 868,30,  2 725,  1 222,  6 797,237,,389,  2 384,2,69,  1 540,12,19,  4 180,,355,63,1,5,362,16,5,60,1,,18,10,,210,,7,261,  50 396,,658,9,,4,1,15,  29 692,2,395,2,4,398,,7,  4 836,35,  1 548,,19,2,11,73,794,  4 646,306,12,45,698,  3 174,7,  28 213,  27 016,22,,,7,,,22,,,  6 084,92,  100 793,1,12,271,,429,199,2,34,403,64,  1 643,52,  1 006,226,23,,  7 258,  14 108,  7 294,363,200,  42 878,7,4,,,7,692,,  2 768,,2,26,  5 686,35,  25 734,304,  18 458,7,61,  10 761,4,55,44,21,,94,155,15
United Arab Emirates,  6 896,,,,,,,,,,,,,,,  3 350, 1 018 847,,,,,,,,,,,,,,,,,,,,,,,,  4 497,,,,,,,,,,,,,,,,,,,,,,,,  665 474,,,  16 269,,  11 457,,,,,  9 309,,,,,,,,,,,,,,,,,,,,,,, 2 666 225,  299 773,,,,,,,,,  132 264,,,,  56 837,,,,  23 321,,,,,,,,,,,,,,,,,,,,,,,,  8 240,,,,,  7 318,  3 077,,,,,  5 996,,,,,  891 520,,,,,,  446 026,,,,886,,,,,,,,,,,,,,,  6 774,,,,,,,,,,  10 908,,  17 838,,  99 456,  49 079,  144 863,,,,,  56 953,,  9 427,,,,,,,  4 968,  41 381,,,,,,,  31 648,,  14 514,,,,,,,,,  188 315,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  10 621,,,918,,  4 181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  10 441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  194 405,,  2 541,,,  3 792,  20 633,,,,,  2 822,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,
Belarus,270,,,,,,,,,  5 788,,,,  13 633,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,  3 104,,,,,  2 020,,,,,,  8 597,,,,104,,,,,,,,,,,,328,,,,,,,,371,,,,,  70 685,,,,  5 287,,  10 035,,,,,,  16 638,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,457,,,,,  7 688,,,  689 468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,,,  5 738,,,,,,,,,,  5 522,,,,  228 085,,442,,,,,  14 942,,,352,,,,,
Bulgaria,294,  1 119,380,,1,6,38,5,116,  1 453,5,140,200,  2 126,4,8,621,4,621,405,2,32,1,29,22,106,28,90,86,1,,12,16,14,8,239,7,,2,,5,,21,849,,,23,,9,,5,5,83,255,,241,912,37,15,62,3,1,21,13,130,7,,3,59,52,,,2,54,555,,,11,10,287,  2 056,10,8,  4 867,3,,,,6,10,5,4,5,,2,333,152,149,24,260,657,10,,333,  1 069,6,114,161,957,12,5,100,85,1,124,610,,5,194,3,106,8,2,,2,2,1,35,1,,3,1,,25,,4,58,27,,76,26,,3,2,5,294,0,22,29,1,73,,,95,2,40,,6,3,2,21,36,  1 181,98,,8,54,  1 868,,  5 968,  18 484,2,,,,,,6,4,,33,9,  2 276,,1,7,,286,36,,3,131,20,  1 542,9,0,17,1,3,120,161,  1 234,118,13,  2 396,,,1,2,,78,  3 906,260,3,15,5,  5 801,60,  3 003,14,  1 167,,17,674,1,26,616,0,0,46,11,29
Czech Republic,517,302,644,,15,195,,5,97,  2 190,,501,  2 933,700,,15,118,1,  4 476,473,3,44,3,1,65,  2 186,73,346,,,  6 973,15,5,22,82,844,10,,,3,8,,94,  5 495,24,,174,2,50,,36,67,  2 432,310,,81,,15,123,274,5,1,29,77,547,14,3,3,92,107,,,2,228,  2 289,,,1,10,890,  13 913,130,,875,,5,,,21,74,17,6,1,,14,715,30,  1 176,163,362,433,539,,799,  2 616,5,  1 526,216,  4 345,49,4,19,595,21,194,298,1,13,180,5,441,13,29,19,388,2,29,17,1,,4,25,,310,,2,  5 595,116,,217,3,111,24,3,142,  2 453,,128,13,3,567,,,141,,492,1,26,2,30,175,310,  18 297,163,,27,  1 335,  8 904,,  4 545,  32 300,5,,5,2,,1,2,1,2,67,56,  2 011,2,18,27,,  71 996,273,1,30,256,39,638,100,134,32,1,2,563,511,567,143,678,  1 951,2,14,,3,5,611,  1 400,47,,3,20,  124 742,6,  4 369,19,  6 092,,16,  1 831,1,78,  60 532,,15,210,40,18
Hungary,782,190,688,,,79,,,327,211,,944,  8 121,152,7,15,68,4,233,  1 623,2,26,2,,58,388,6,508,,,  2 102,,,74,201,  2 091,,,,8,2,,159,  11 091,,,199,,81,,33,23,  2 345,613,,277,  1 600,,27,365,,,35,111,778,13,,10,127,132,,,,701,  3 842,,,5,11,211,  31 302,124,,  1 328,,5,,,18,42,9,4,,,11,,130,  1 110,216,  2 042,831,807,,  1 687,  3 835,29,  1 351,397,532,88,,175,132,45,141,345,6,34,320,7,145,138,33,,116,,21,36,,,4,52,,424,,5,  1 268,39,,188,21,9,8,,56,  2 709,,177,22,14,  1 175,,,  1 165,16,232,,26,2,20,219,250,  4 046,329,,34,  1 221,221,,  214 976,  4 512,17,,4,,,4,,,,324,24,  24 762,,30,83,,  22 186,414,,400,338,94,  1 204,53,105,78,,,  1 534,  2 223,  1 244,18,716,144,,9,,,14,190,  2 135,,,,32,  29 211,181,  5 383,58,  7 318,,68,116,,192,  3 449,,,273,18,39
Poland,157,140,646,,,64,,4,303,  2 332,,  1 007,  4 198,295,0,9,111,11,  84 097,  5 781,1,4,,0,54,  3 852,,289,,,  1 916,1,8,29,41,  3 269,,,,9,,,66,  1 304,0,,137,18,118,,40,5,871,250,7,231,  4 999,0,17,989,0,,23,51,501,1,,27,221,49,,,10,278,  28 932,,5,10,7,362,  84 527,40,,  3 433,6,6,,0,7,63,,29,0,,7,  1 488,546,950,126,256,471,  8 409,,384,  11 005,3,565,152,  5 100,68,,213,139,16,  1 718,425,0,0,266,0,  55 874,256,12,0,45,,34,16,,0,0,4,,235,,27,357,66,,352,30,6,6,,62,  2 869,0,118,6,4,422,,0,  1 693,3,237,,37,0,3,124,216,,152,0,28,131,615,,  2 748,  42 253,6,0,,,,,,0,0,194,98,  1 146,10,10,17,,  1 436,169,,16,422,69,  5 340,96,,56,0,0,  1 448,  1 125,652,65,109,294,,14,0,,3,454,968,60,,,70,  228 745,139,  38 264,77,  15 143,,104,550,0,81,  3 093,0,0,127,47,115
Republic of Moldova,106,,,,,,,,,  3 197,,,,  6 274,,,,,  35 333,,,,,,,,,,,,128,,,,,,,,,,,,,372,,,,,,,,,,,,,,  1 906,,,,,,,,,,,  1 247,,,,,505,,,,,,  4 710,  2 951,,,,,,,,,,,,,,,165,,,,,,,,,,,,,  18 868,,,,  2 708,,  4 942,,,,,,  6 127,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,  8 628,,,,,,,  1 153,  228 708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 758,,,,,,,,,  1 142,  1 406,,,,  53 485,,137,,450,,,  11 021,,,173,,,,,
